ItemID	IconID	EffResID	Name	Des	ItemType	IsAutoUse	UserType	NumLimite	SoldPrice	CostGold	CostMoney	Rank	EffectType	EffectValue	CD	WorthScore
1	1001		希望护符	绝望之时，为你开启一个特别的逃生出口。	1	0	15	3	5	1	1	4	1	1	0	
2	1002		驱散符文	拆除附近的一个追踪者陷阱。	1	0	15	3	5	1	1	1	1	3	30	
3	1003		极速符文	一定时间内移动速度提升。	1	0	15	3	5	0	10	2	1	4	150	
4	1004		视界符文	一定时间内视野范围扩大。	1	0	15	3	5	1	1	1	1	10	150	
5	1005		礼赞符文	在地面生成一个光圈，站在光圈内的逃生者能够缓慢回复理智值。	1	0	15	3	5	1	1	2	5	5	300	
6	1006		治愈符文	在地面生成一个光圈，站在光圈内的逃生者可以停止流血，缓慢回复生命值。可以治疗濒死的队友。	1	0	15	9	5	1	1	3	5	8	300	
7	1007		简易医疗包	不再流血，并回复较少生命值。	1	0	15	3	5	1	1	2	1	6	100	
8	1008		隐匿符文	立即隐身极短一段时间，其他人看不见你，但在这个状态下你仍会被击中！	1	0	15	3	5	0	25	2	1	11	100	
9	1009		全视之眼	一定时间内，你可以看见追踪者的陷阱，以及一些难以名状的事物。	1	0	15	9	5	1	1	3	1	12	300	
10	1010		惊吓印记	让所有逃生者都感觉到危险近在咫尺。	1	0	16	9	5	300	0	2	1	36	150	
11	1011		传送符文	随机传送到场景中的某处。	1	0	31	9	5	1	1	3	1	38	150	
12	1012		监视印记	踩中陷阱的人类会在一定时间内持续暴露自身。	1	0	16	9	5	500	0	2	5	2	100	
13	1013		折磨印记	踩中陷阱的人类会受到少许伤害，并且流血。	1	0	16	9	5	1	1	1	5	3	100	
14	1014		禁锢印记	踩中陷阱的人类会在一定时间内被减速。	1	0	16	9	5	0	10	2	5	4	100	
15	1015		暗幕印记	踩中陷阱的人类会在一定时间内视力大幅削减。	1	0	16	9	5	1	1	1	5	6	100	
16	1016		腐烂匣子	肖格斯吐出来的木匣，有大片腐烂的痕迹。	2	0	31	99	5	1	1	1	2	4	0	
17	1017		破损匣子	肖格斯吐出来的金属匣子，锈迹斑斑。	2	0	31	99	5	1	1	2	2	4	0	
18	1018		神秘匣子	肖格斯吐出来的匣子，乌黑光滑的表面上有着诡异的纹路。	2	0	31	99	5	1	1	3	2	4	0	
19	1019		古神宝箱	商城的箱子1	2	0	31	99	5	1	1	2	2	4	0	
20	1020		外神宝箱	商城的箱子2	2	0	31	99	5	1	1	3	2	4	0	
21	1021		闪耀偏方三八面体	一个奇怪的、像宝石一样的多面体，黑市商人应该会对它感兴趣	4	0	0	1	1000	1	100	4	6	4	0	
22	1022		金钱1		4	1	0	99	0	0	0	1	4	1	0	
23	1023		金钱2		4	1	0	99	0	0	0	1	4	5	0	
24	1024		金钱3		4	1	0	99	0	0	0	1	4	25	0	
25	1025		金钱4		4	1	0	99	0	0	0	1	4	50	0	
26	1026		金钱5		4	1	0	99	0	0	0	1	4	100	0	
27	1027		驱散符文	驱散附近的一个追踪者陷阱。	1	0	15	20	5	1	1	2	1	3	30	
28	1028		极速符文	一定时间内移动速度提升。	1	0	15	20	5	0	10	3	1	4	150	
29	1029		视界符文	一定时间内视野范围扩大。	1	0	15	20	5	1	1	2	1	10	150	
30	1030		礼赞符文	在地面生成一个光圈，站在光圈内的逃生者能够缓慢回复理智值。	1	0	15	20	5	1	1	3	5	5	300	
31	1031		治愈符文	在地面生成一个光圈，站在光圈内的逃生者可以停止流血，缓慢回复生命值。可以治疗濒死的队友。	1	0	15	20	5	1	1	4	5	8	300	
32	1032		医疗包	不再流血，并回复较少生命值。	1	0	15	20	5	1	1	3	1	6	100	
33	1033		隐匿符文	立即隐身极短一段时间，其他人看不见你，但在这个状态下你仍会被击中！	1	0	15	20	5	0	25	3	1	11	100	
34	1034		全视之眼	一定时间内，你可以看见追踪者的陷阱，以及一些难以名状的事物。	1	0	15	20	5	1	1	4	1	12	300	
35	1035		颤栗印记	让所有逃生者都感觉到危险近在咫尺。	1	0	16	15	5	300	0	3	1	36	150	
36	1036		次元道标	随机传送到场景中的某处。	1	0	31	20	5	1	1	4	1	38	100	
37	1037		监视印记	踩中陷阱的人类会在一定时间内持续暴露自身。	1	0	16	20	5	500	0	3	5	2	100	
38	1038		折磨印记	踩中陷阱的人类会受到少许伤害，并且流血。	1	0	16	20	5	1	1	2	5	3	100	
39	1039		禁锢印记	踩中陷阱的人类会在一定时间内被减速。	1	0	16	20	5	0	10	3	5	4	100	
40	1040		暗幕印记	踩中陷阱的人类会在一定时间内视力大幅削减。	1	0	16	20	5	1	1	2	5	6	100	
41	1041		以太结晶	为一件蓝色品质的物品充满能量	4	0	0	99	50	100	0	2	6	2	0	
42	1042		灵魂碎片	为一件紫色品质的物品充满能量	4	0	0	99	100	500	0	3	6	3	0	
43	1043		恐惧印记	让所有逃生者都感觉到危险近在咫尺。	1	0	16	30	500	0	100	4	6	36	150	
